"Symbol","Description","Sector","Industry","Same Sub-Industry As","Exchange","Price","Average Volume (10 Day)"
"OSUR","OraSure Technologies Inc","Health Care","Health Care Equipment & Supplies","Health Care Supplies","NASDAQ","$3.08","782,090"
"GTBP","GT Biopharma Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.10","86,820"
"ABVC","ABVC Biopharma Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.10","495,760"
"LPCN","Lipocine Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$3.11","30,910"
"PRME","Prime Medicine Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.11","4,665,520"
"CPIX","Cumberland Pharmaceuticals Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$3.15","175,860"
"AIFF","Firefly Neuroscience Inc","Health Care","Health Care Technology","Health Care Technology","NASDAQ","$3.16","2,944,220"
"DRTS","Alpha Tau Medical Ltd","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$3.17","41,190"
"LTRN","Lantern Pharma Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.18","35,010"
"XBIT","XBiotech Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.18","325,440"
"AIMD","Ainos Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.19","104,590"
"ANIX","Anixa Biosciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.19","121,980"
"SANA","Sana Biotechnology Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.19","6,784,070"
"LRMR","Larimar Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.20","1,562,400"
"OMER","Omeros Corp","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$3.20","1,105,050"
"VYGR","Voyager Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.20","708,060"
"MDCX","Medicus Pharma Ltd","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.22","286,450"
"BMRA","Biomerica Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$3.23","71,810"
"ABUS","Arbutus Biopharma Corp","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.24","1,113,100"
"MODV","ModivCare Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$3.25","1,167,020"
"CMPS","Compass Pathways PLC","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.26","8,100,070"
"QLGN","Qualigen Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.26","14,520"
"CYCN","Cyclerion Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.30","39,480"
"NRXP","NRX Pharmaceuticals Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$3.32","237,780"
"SINT","SINTX Technologies Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$3.33","29,170"
"ALMS","Alumis Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$3.40","1,105,390"
"BNGO","Bionano Genomics Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$3.40","95,330"
"BNR","Burning Rock Biotech Ltd","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.40","17,660"
"STIM","Neuronetics Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$3.40","1,253,370"
"CSCI","COSCIENS Biopharma Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.41","1,730"
"CYH","Community Health Systems Inc","Health Care","Health Care Providers & Services","Health Care Facilities","NYS","$3.41","2,817,180"
"OPT","Opthea Ltd","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.41","0"
"IMRX","Immuneering Corp","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.45","3,072,130"
"PTIX","Protagenic Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.48","192,160"
"EKSO","Ekso Bionics Holdings Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$3.49","482,310"
"PYPD","PolyPid Ltd","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$3.49","229,610"
"EUDA","EUDA Health Holdings Ltd","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$3.52","103,090"
"GLTO","Galecto Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.54","13,580"
"RPID","Rapid Micro Biosystems Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$3.54","94,320"
"DMAC","DiaMedica Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.57","505,690"
"PBYI","Puma Biotechnology Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.58","342,940"
"CRDF","Cardiff Oncology Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.59","1,817,920"
"MNKD","MannKind Corp","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.60","4,416,310"
"NDRA","ENDRA Life Sciences Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$3.60","22,190"
"BBLG","Bone Biologics Corp","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.62","2,878,360"
"KRMD","KORU Medical Systems Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$3.62","755,570"
"AKBA","Akebia Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.63","5,141,650"
"RLAY","Relay Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.63","1,762,300"
"CATX","Perspective Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NYS","$3.68","1,538,530"
"CDIO","Cardio Diagnostics Holdings Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.68","39,860"
"XBIO","Xenetic Biosciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.70","350,590"
"UPC","Universe Pharmaceuticals Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$3.70","19,910"
"AQST","Aquestive Therapeutics Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$3.72","1,338,870"
"AVIR","Atea Pharmaceuticals Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$3.74","457,110"
"ENGN","enGene Holdings Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.74","90,660"
"ICAD","ICAD Inc","Health Care","Health Care Technology","Health Care Technology","NASDAQ","$3.74","161,060"
"CTKB","Cytek Biosciences Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$3.76","1,364,860"
"MOLN","Molecular Partners AG","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.76","2,310"
"DSGN","Design Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.77","101,180"
"HSCS","HeartSciences Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$3.78","66,170"
"ABCL","Abcellera Biologics Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$3.80","7,651,330"
"AVR","Anteris Technologies Global Corp","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$3.80","389,590"
"TIVC","Tivic Health Systems Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$3.83","18,440"
"GNFT","Genfit SA","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.87","5,230"
"GNTA","Genenta Science SPA","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.87","49,740"
"CTNM","Contineum Therapeutics Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$3.88","332,550"
"BDMD","Baird Medical Investment Holdings Ltd","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$3.93","464,580"
"CLNN","Clene Inc.","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.95","59,670"
"CRVS","Corvus Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.95","1,640,450"
"KOD","Kodiak Sciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.95","312,390"
"NVNO","enVVeno Medical Corp","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$3.95","93,470"
"SCPH","scPharmaceuticals Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$3.97","285,010"
"SHPH","Shuttle Pharmaceuticals Holdings Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$3.97","190,900"
"ALDX","Aldeyra Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.00","1,245,510"
"DH","Definitive Healthcare Corp","Health Care","Health Care Technology","Health Care Technology","NASDAQ","$4.03","933,380"
"ATHE","Alterity Therapeutics Ltd","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.04","40,970"
"ORGO","Organogenesis Holdings Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.05","1,098,450"
"HCAT","Health Catalyst Inc","Health Care","Health Care Technology","Health Care Technology","NASDAQ","$4.06","732,250"
"RADX","Radiopharm Theranostics Ltd","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.06","--"
"SONN","Sonnet Biotherapeutics Holdings Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.15","13,056,940"
"HCWB","HCW Biologics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.17","440,020"
"PHLT","Performant Healthcare Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$4.19","284,020"
"EVO","Evotec SE","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$4.20","118,270"
"SGHT","Sight Sciences Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$4.21","201,040"
"BTMD","Biote Corp","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$4.22","169,140"
"FDMT","4D Molecular Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.24","559,270"
"DTIL","Precision BioSciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.26","989,660"
"ARDX","Ardelyx Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.27","4,335,950"
"BIOA","BIOAGE Labs Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$4.28","425,560"
"YMAB","Y-mAbs Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.30","246,670"
"TERN","Terns Pharmaceuticals Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$4.32","896,250"
"CING","Cingulate Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$4.34","93,200"
"KPTI","Karyopharm Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.39","47,150"
"TTNP","Titan Pharmaceuticals Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$4.40","6,750"
"VVOS","Vivos Therapeutics Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$4.43","3,273,480"
"LXEO","Lexeo Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.45","554,050"
"CRGX","CARGO Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.46","390,080"
"INNV","InnovAge Holding Corp","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$4.46","42,470"
"ACB","Aurora Cannabis Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$4.47","--"
"SBC","SBC Medical Group Holdings Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$4.47","207,800"
"OLMA","Olema Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.57","1,089,670"
"KZR","Kezar Life Sciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.58","53,990"
"UNCY","Unicycive Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.60","1,720,670"
"BLRX","BioLine RX Ltd","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.61","65,540"
"SKYE","Skye Bioscience Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.61","3,790,070"
"AVAH","Aveanna Healthcare Holdings Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$4.65","529,680"
"SRTS","Sensus Healthcare Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$4.70","53,170"
"GDRX","GoodRx Holdings Inc","Health Care","Health Care Technology","Health Care Technology","NASDAQ","$4.71","1,699,700"
"CLRB","Cellectar Biosciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.73","238,570"
"XERS","Xeris Biopharma Holdings Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$4.75","2,215,220"
"ALT","Altimmune Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.76","18,044,230"
"LFST","LifeStance Health Group Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$4.79","2,844,270"
"VSTM","Verastem Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.80","3,563,940"
"DWTX","Dogwood Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.83","19,560"
"ONCO","Onconetix Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.85","179,920"
"RZLT","Rezolute Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.86","2,056,640"
"GLUE","Monte Rosa Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.87","448,790"
"NBTX","Nanobiotix SA","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.87","2,290"
"ODYS","Odysight.AI Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$4.92","15,080"
"APDN","Applied DNA Sciences Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$4.94","177,310"
"AVTX","Avalo Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.94","128,570"
"POCI","Precision Optics Corporation Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$4.95","22,740"
"VNDA","Vanda Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$4.97","392,360"
"XYLO","Xylo Technologies Ltd","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$4.98","2,110"
"SLDB","Solid Biosciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.03","2,176,190"
"CCEL","Cryo-Cell International Inc","Health Care","Health Care Providers & Services","Health Care Services","NYS","$5.05","20,350"
"TCRT","Alaunos Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.06","46,430"
"SNES","Senestech Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$5.07","380,010"
"TLSI","TriSalus Life Sciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.07","272,830"
"CADL","Candel Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.10","1,064,850"
"KALA","KALA BIO Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.10","99,230"
"FHTX","Foghorn Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.13","196,820"
"RCEL","AVITA Medical Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.17","353,240"
"SSII","SS Innovations International Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$5.17","927,740"
"STRM","Streamline Health Solutions Inc","Health Care","Health Care Technology","Health Care Technology","NASDAQ","$5.20","40,300"
"TKNO","Alpha Teknova Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$5.21","423,690"
"CTOR","Citius Oncology Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.22","4,976,030"
"FTRE","Fortrea Holdings Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$5.22","3,247,950"
"RXRX","Recursion Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.27","28,965,470"
"ATYR","aTyr Pharma Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.28","4,589,060"
"NNOX","Nano-X Imaging Ltd","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$5.32","1,160,810"
"NEOG","Neogen Corp","Health Care","Health Care Equipment & Supplies","Health Care Supplies","NASDAQ","$5.33","8,537,920"
"ECOR","electroCore, Inc.","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$5.36","61,800"
"PLUR","Pluri Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.39","113,260"
"EPRX","Eupraxia Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.39","--"
"AIRS","AirSculpt Technologies Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$5.40","587,850"
"VIR","Vir Biotechnology Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.41","1,244,570"
"THRD","Third Harmonic Bio Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$5.43","225,170"
"CVAC","CureVac NV","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.45","988,560"
"AGEN","Agenus Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.51","1,195,740"
"SLN","Silence Therapeutics PLC","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.52","119,190"
"CRVO","CervoMed Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.56","178,200"
"MYGN","Myriad Genetics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.60","1,535,510"
"FGEN","FibroGen Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.61","61,290"
"CCM","Concord Medical Services Holdings Ltd","Health Care","Health Care Providers & Services","Health Care Services","NYS","$5.62","2,360"
"PBM","Psyence Biomedical Ltd","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.65","38,890"
"STSS","Sharps Technology Inc","Health Care","Health Care Equipment & Supplies","Health Care Supplies","NASDAQ","$5.70","225,290"
"TNGX","Tango Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.70","3,503,890"
"IMTX","Immatics NV","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.71","754,200"
"TENX","Tenax Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.74","71,540"
"COYA","Coya Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.78","68,760"
"ATXS","Astria Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.81","374,290"
"VALN","Valneva SE","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.81","11,010"
"NTHI","NeOnc Technologies Holdings Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$5.83","61,430"
"PRTG","Portage Biotech Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.84","445,720"
"KURA","Kura Oncology Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.86","1,501,090"
"ABEO","Abeona Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.87","1,604,810"
"BOLT","Bolt Biotherapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.91","18,570"
"SER","Serina Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NYS","$5.94","15,500"
"TRVI","Trevi Therapeutics Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$5.95","1,768,250"
"ZYBT","Zhengye Biotechnology Holding Ltd","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$6.05","270,840"
"PROF","Profound Medical Corp","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$6.09","--"
"FOLD","Amicus Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$6.10","6,386,420"
"INFU","InfuSystem Holdings Inc","Health Care","Health Care Providers & Services","Health Care Services","NYS","$6.16","456,650"
"TMCI","Treace Medical Concepts Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$6.18","359,350"
"MDXG","MiMedx Group Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$6.23","760,170"
"SCLX","Scilex Holding Co","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$6.24","90,820"
"AMLX","Amylyx Pharmaceuticals Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$6.30","2,852,810"
"AUNA","Auna SA","Health Care","Health Care Providers & Services","Health Care Facilities","NYS","$6.33","74,390"
"ICCC","ImmuCell Corp","Health Care","Biotechnology","Biotechnology","NASDAQ","$6.39","75,950"
"PRTA","Prothena Corporation PLC","Health Care","Biotechnology","Biotechnology","NASDAQ","$6.44","2,246,860"
"SPRC","Scisparc Ltd","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$6.52","244,430"
"GCTK","GlucoTrack Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$6.53","3,124,310"
"APLM","Apollomics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$6.56","10,090"
"AURA","Aura Biosciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$6.56","292,570"
"CVRX","CVRx Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$6.58","172,810"
"ACTU","Actuate Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$6.59","248,670"
"CUPR","Cuprina Holdings (Cayman) Ltd","Health Care","Health Care Equipment & Supplies","Health Care Supplies","NASDAQ","$6.68","131,860"
"PIII","P3 Health Partners Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$6.69","4,100"
"SIGA","SIGA Technologies Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$6.69","409,460"
"KZIA","Kazia Therapeutics Ltd","Health Care","Biotechnology","Biotechnology","NASDAQ","$6.75","79,550"
"JSPR","Jasper Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$6.77","539,810"
"XCUR","Exicure Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$6.78","462,790"
"DAWN","Day One Biopharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$6.80","1,565,610"
"NVAX","Novavax Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$6.80","4,984,350"
"BKD","Brookdale Senior Living Inc","Health Care","Health Care Providers & Services","Health Care Facilities","NYS","$6.84","4,133,240"
"NEUE","NeueHealth Inc","Health Care","Health Care Providers & Services","Managed Health Care","NYS","$6.87","11,430"
"FULC","Fulcrum Therapeutics Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$6.92","667,920"
"WVE","WAVE Life Sciences Ltd","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$6.95","1,237,930"
"QTRX","Quanterix Corp","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$6.98","870,700"
"EBS","Emergent BioSolutions Inc","Health Care","Biotechnology","Biotechnology","NYS","$6.99","1,935,300"
"PULM","Pulmatrix Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$7.00","104,880"
"BVS","Bioventus Inc","Health Care","Health Care Equipment & Supplies","Health Care Supplies","NASDAQ","$7.02","587,860"
"DERM","Journey Medical Corp","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$7.04","280,280"
"XGN","Exagen Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.05","243,670"
"BHC","Bausch Health Companies Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NYS","$7.06","2,692,530"
"NEUP","Neuphoria Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.13","35,870"
"TPST","Tempest Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.13","87,450"
"VMD","Viemed Healthcare Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$7.15","271,970"
"MNMD","Mind Medicine (MindMed) Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$7.17","1,478,140"
"TRDA","Entrada Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.23","177,180"
"INKT","Mink Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.23","27,550"
"ALGS","Aligos Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.31","93,890"
"NEO","Neogenomics Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$7.40","2,010,030"
