"Symbol","Description","Sector","Industry","Same Sub-Industry As","Exchange","Price","Average Volume (10 Day)"
"BCYC","Bicycle Therapeutics PLC","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.43","371,110"
"CYRX","Cryoport Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$7.44","660,210"
"PSNL","Personalis Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$7.45","2,322,650"
"SLGL","Sol Gel Technologies Ltd","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$7.47","6,250"
"COEP","Coeptis Therapeutics Holdings Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.48","41,650"
"INGN","Inogen Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$7.49","227,630"
"MGTX","MeiraGTx Holdings PLC","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.51","458,700"
"NVCT","Nuvectis Pharma Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.52","284,840"
"COGT","Cogent Biosciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.58","2,680,910"
"AUPH","Aurinia Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.59","2,225,210"
"RBOT","Vicarious Surgical Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NYS","$7.61","10,460"
"EHAB","Enhabit Inc","Health Care","Health Care Providers & Services","Health Care Services","NYS","$7.65","837,830"
"ACON","Aclarion Inc","Health Care","Health Care Technology","Health Care Technology","NASDAQ","$7.68","15,390"
"CRBP","Corbus Pharmaceuticals Holdings Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.75","312,840"
"CSBR","Champions Oncology Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$7.77","22,050"
"NYXH","Nyxoah SA","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$7.77","--"
"GYRE","Gyre Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.80","266,210"
"CGEM","Cullinan Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.81","459,100"
"ELTX","Elicio Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.85","61,110"
"ALTS","ALT5 Sigma Corp","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$7.88","345,170"
"KMDA","Kamada Ltd","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.88","89,890"
"ENTA","Enanta Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.89","149,950"
"CYBN","Cybin Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NYS","$7.94","--"
"ARVN","Arvinas Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$7.95","1,856,930"
"ABVX","Abivax SA","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.96","--"
"VIGL","Vigil Neuroscience Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$7.99","977,050"
"PRE","Prenetics Global Ltd","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$8.00","119,950"
"LFCR","Lifecore Biomedical Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$8.04","301,090"
"RAPT","RAPT Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$8.05","158,820"
"TAOX","TAO Synergies Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$8.08","457,060"
"SGMT","Sagimet Biosciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$8.25","1,439,840"
"RNAZ","Transcode Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$8.29","27,720"
"TDOC","Teladoc Health Inc","Health Care","Health Care Technology","Health Care Technology","NYS","$8.29","12,038,600"
"AMRX","Amneal Pharmaceuticals Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$8.42","2,082,690"
"XNCR","Xencor Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$8.42","1,000,600"
"ATRA","Atara Biotherapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$8.47","34,010"
"RCUS","Arcus Biosciences Inc","Health Care","Biotechnology","Biotechnology","NYS","$8.47","1,207,660"
"AMWL","American Well Corp","Health Care","Health Care Technology","Health Care Technology","NYS","$8.51","44,460"
"OWLT","Owlet Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NYS","$8.53","100,250"
"FENC","Fennec Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$8.54","84,090"
"RGNX","Regenxbio Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$8.74","1,000,390"
"SRZN","Surrozen Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$8.74","34,740"
"DYN","Dyne Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$8.76","3,515,620"
"VREX","Varex Imaging Corp","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$8.80","504,800"
"IMNM","Immunome Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$8.84","1,299,240"
"AIM","AIM ImmunoTech Inc","Health Care","Biotechnology","Biotechnology","NYS","$8.85","17,320"
"PHAT","Phathom Pharmaceuticals Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$8.92","1,748,680"
"AVDL","Avadel Pharmaceuticals PLC","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$8.93","2,093,420"
"BCRX","BioCryst Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$8.94","4,033,620"
"SNDX","Syndax Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$9.00","2,301,640"
"LIMN","Liminatus Pharma Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$9.02","410,010"
"BCAX","Bicara Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$9.03","974,740"
"GRFS","Grifols SA","Health Care","Biotechnology","Biotechnology","NASDAQ","$9.08","640,430"
"ADXN","Addex Therapeutics Ltd","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$9.13","23,740"
"ALVO","Alvotech SA","Health Care","Biotechnology","Biotechnology","NASDAQ","$9.19","201,460"
"QNRX","Quoin Pharmaceuticals Ltd","Health Care","Biotechnology","Biotechnology","NASDAQ","$9.19","9,650"
"SAGE","SAGE Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$9.20","2,030,220"
"OMI","Owens & Minor Inc","Health Care","Health Care Providers & Services","Health Care Distributors","NYS","$9.21","1,798,530"
"SNSE","Sensei Biotherapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$9.27","15,030"
"EOLS","Evolus Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$9.27","843,460"
"LYRA","Lyra Therapeutics Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$9.31","174,910"
"VTRS","Viatris Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$9.32","12,590,680"
"AHCO","Adapthealth Corp","Health Care","Health Care Providers & Services","Health Care Distributors","NASDAQ","$9.37","2,305,190"
"REPL","Replimune Group Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$9.40","1,307,000"
"CERO","CERo Therapeutics Holdings Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$9.46","859,490"
"ANGO","AngioDynamics Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$9.58","549,910"
"MENS","Jyong Biotech Ltd","Health Care","Biotechnology","Biotechnology","NASDAQ","$9.62","252,250"
"OCUL","Ocular Therapeutix Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$9.62","2,710,360"
"BSGM","BioSig Technologies Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$9.65","810,980"
"LYEL","Lyell Immunopharma Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$9.69","222,230"
"EYPT","EyePoint Pharmaceuticals Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$9.72","889,220"
"ZVRA","Zevra Therapeutics Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$9.74","660,420"
"DXR","Daxor Corp","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$9.75","8,670"
"BGM","BGM Group Ltd","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$9.76","101,060"
"HSDT","Helius Medical Technologies Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$9.76","284,730"
"GLSI","Greenwich Lifesciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$9.88","49,520"
"OGN","Organon & Co","Health Care","Pharmaceuticals","Pharmaceuticals","NYS","$9.96","3,732,390"
"TYRA","Tyra Biosciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$10.00","438,450"
"CAPR","Capricor Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$10.02","4,247,170"
"ZBIO","Zenas Biopharma Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$10.03","198,000"
"TCMD","Tactile Systems Technology Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$10.13","236,570"
"ETNB","89Bio Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$10.16","2,086,480"
"ITOS","Iteos Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$10.18","911,850"
"EXOZ","eXoZymes Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$10.20","19,420"
"HLN","Haleon PLC","Health Care","Pharmaceuticals","Pharmaceuticals","NYS","$10.25","15,080,390"
"ZIMV","ZimVie Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$10.25","168,110"
"DVAX","Dynavax Technologies Corp","Health Care","Biotechnology","Biotechnology","NASDAQ","$10.27","2,199,080"
"DBVT","Dbv Technologies SA","Health Care","Biotechnology","Biotechnology","NASDAQ","$10.30","34,040"
"EMBC","Embecta Corp","Health Care","Health Care Equipment & Supplies","Health Care Supplies","NASDAQ","$10.32","834,010"
"RGC","Regencell Bioscience Holdings Ltd","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$10.36","1,541,970"
"NPCE","Neuropace Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$10.39","552,960"
"PHAR","Pharming Group NV","Health Care","Biotechnology","Biotechnology","NASDAQ","$10.58","--"
"MESO","Mesoblast Ltd","Health Care","Biotechnology","Biotechnology","NASDAQ","$10.68","246,460"
"ACOG","Alpha Cognition Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$10.69","74,600"
"NTRB","Nutriband Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$10.72","208,580"
"NTLA","Intellia Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$10.74","4,671,970"
"AVXL","Anavex Life Sciences Corp","Health Care","Biotechnology","Biotechnology","NASDAQ","$10.79","1,200,620"
"ORIC","Oric Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$10.80","1,217,550"
"ATEC","Alphatec Holdings Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$10.99","1,802,380"
"ROIV","Roivant Sciences Ltd","Health Care","Biotechnology","Biotechnology","NASDAQ","$10.99","9,482,110"
"ARTL","Artelo Biosciences Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$11.03","2,815,810"
"AXGN","AxoGen Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$11.06","742,440"
"INDP","Indaptus Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$11.09","1,359,700"
"OFIX","Orthofix Medical Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$11.12","538,470"
"JBIO","Jade Biosciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$11.14","992,310"
"TBPH","Theravance Biopharma Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$11.15","277,280"
"UPB","Upstream Bio Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$11.20","689,930"
"RNAC","Cartesian Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$11.21","82,370"
"ANIK","Anika Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$11.25","125,220"
"VERV","Verve Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$11.28","5,143,080"
"CLPT","Clearpoint Neuro Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$11.29","731,530"
"PRPO","Precipio Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$11.30","11,590"
"CERT","Certara Inc","Health Care","Health Care Technology","Health Care Technology","NASDAQ","$11.33","1,983,900"
"SEPN","Septerna Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$11.37","598,580"
"STOK","Stoke Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$11.48","627,060"
"MAZE","Maze Therapeutics Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$11.50","137,130"
"CRMD","CorMedix Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$11.62","3,320,090"
"JYNT","Joint Corp","Health Care","Health Care Providers & Services","Health Care Facilities","NASDAQ","$11.69","98,190"
"SHC","Sotera Health Co","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$11.75","1,378,550"
"EVH","Evolent Health Inc","Health Care","Health Care Technology","Health Care Technology","NYS","$11.79","4,563,220"
"ADPT","Adaptive Biotechnologies Corp","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$11.80","3,380,830"
"MCRB","Seres Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$11.87","134,760"
"KALV","Kalvista Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$11.98","1,381,790"
"RAPP","Rapport Therapeutics Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$12.04","157,800"
"LQDA","Liquidia Corp","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$12.06","2,084,120"
"AVNS","Avanos Medical Inc","Health Care","Health Care Equipment & Supplies","Health Care Supplies","NYS","$12.35","508,130"
"CVKD","Cadrenal Therapeutics Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$12.44","43,220"
"MBX","MBX Biosciences Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$12.47","445,270"
"LFMD","LifeMD Inc","Health Care","Health Care Technology","Health Care Technology","NASDAQ","$12.50","2,390,310"
"DCTH","Delcath Systems Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$12.51","1,127,470"
"NAGE","Niagen Bioscience Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$12.58","1,144,100"
"ORKA","Oruka Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$12.60","532,060"
"NRIX","Nurix Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$12.73","810,200"
"BNTC","Benitec Biopharma Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$12.74","375,760"
"CCRN","Cross Country Healthcare Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$13.01","309,900"
"TXG","10X Genomics Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$13.01","5,344,550"
"EWTX","Edgewise Therapeutics Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$13.03","935,580"
"CELC","Celcuity Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$13.04","266,590"
"ZYME","Zymeworks Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$13.04","604,040"
"RXST","Rxsight Inc","Health Care","Health Care Equipment & Supplies","Health Care Supplies","NASDAQ","$13.05","704,960"
"NAKA","Kindly MD Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$13.12","557,490"
"OPRX","OptimizeRx Corp","Health Care","Health Care Technology","Health Care Technology","NASDAQ","$13.12","277,250"
"PACS","Pacs Group Inc","Health Care","Health Care Providers & Services","Health Care Facilities","NYS","$13.14","982,830"
"LNSR","LENSAR Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$13.16","215,590"
"BWAY","Brainsway Ltd","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$13.24","63,780"
"KRRO","Korro Bio Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$13.35","113,070"
"ARDT","Ardent Health Inc","Health Care","Health Care Providers & Services","Health Care Facilities","NYS","$13.39","341,410"
"KROS","Keros Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$13.45","498,850"
"IART","Integra Lifesciences Holdings Corp","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$13.49","1,476,170"
"BBNX","Beta Bionics Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$13.52","633,210"
"ALHC","Alignment Healthcare Inc","Health Care","Health Care Providers & Services","Managed Health Care","NASDAQ","$13.57","3,824,130"
"URGN","Urogen Pharma Ltd","Health Care","Biotechnology","Biotechnology","NASDAQ","$13.58","2,344,990"
"ARCT","Arcturus Therapeutics Holdings Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$13.78","561,800"
"MD","Pediatrix Medical Group Inc","Health Care","Health Care Providers & Services","Health Care Services","NYS","$13.78","701,870"
"ARQT","Arcutis Biotherapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$13.82","2,121,290"
"FBRX","Forte Biosciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$13.84","332,040"
"AVTR","Avantor Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NYS","$13.88","12,892,250"
"BLCO","Bausch + Lomb Corp","Health Care","Health Care Equipment & Supplies","Health Care Supplies","NYS","$13.88","886,070"
"AARD","Aardvark Therapeutics Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$13.92","139,830"
"CNTA","Centessa Pharmaceuticals PLC","Health Care","Biotechnology","Biotechnology","NASDAQ","$14.07","1,071,460"
"QURE","Uniqure NV","Health Care","Biotechnology","Biotechnology","NASDAQ","$14.42","1,290,810"
"ETON","Eton Pharmaceuticals Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$14.45","805,720"
"MLYS","Mineralys Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$14.54","1,133,500"
"BHVN","Biohaven Ltd","Health Care","Biotechnology","Biotechnology","NYS","$14.63","2,194,650"
"ELAN","Elanco Animal Health Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NYS","$14.64","5,529,890"
"DNLI","Denali Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$14.69","1,762,170"
"GHRS","GH Research PLC","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$14.92","211,700"
"TVTX","Travere Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$15.01","1,533,180"
"VTVT","vTv Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$15.07","13,250"
"RDY","Dr Reddy's Laboratories Ltd","Health Care","Pharmaceuticals","Pharmaceuticals","NYS","$15.08","1,434,450"
"SEM","Select Medical Holdings Corp","Health Care","Health Care Providers & Services","Health Care Facilities","NYS","$15.14","1,513,190"
"INMD","Inmode Ltd","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$15.16","2,480,730"
"PLSE","Pulse Biosciences Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$15.32","209,640"
"TAK","Takeda Pharmaceutical Co Ltd","Health Care","Pharmaceuticals","Pharmaceuticals","NYS","$15.34","2,244,440"
"FONR","Fonar Corp","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$15.41","26,620"
"INDV","Indivior PLC","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$15.41","--"
"CBIO","Crescent Biopharma Inc (Pre-Reincorporation)","Health Care","Biotechnology","Biotechnology","NASDAQ","$15.55","69,440"
"KMTS","Kestra Medical Technologies Ltd","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$15.67","676,970"
"VRDN","Viridian Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$15.67","761,330"
"SYRE","Spyre Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$15.76","762,580"
"HCM","HUTCHMED (China) Ltd","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$15.81","84,540"
"HYPD","Hyperion DeFi Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$15.82","--"
"TLX","Telix Pharmaceuticals Ltd","Health Care","Biotechnology","Biotechnology","NASDAQ","$16.07","--"
"INBX","Inhibrx Biosciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$16.33","103,680"
"TRML","Tourmaline Bio Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$16.42","246,000"
"SPRY","ARS Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$16.52","2,081,440"
"AMRN","Amarin Corporation PLC","Health Care","Biotechnology","Biotechnology","NASDAQ","$16.65","237,200"
"XRAY","DENTSPLY SIRONA Inc","Health Care","Health Care Equipment & Supplies","Health Care Supplies","NASDAQ","$16.67","2,511,430"
"TNDM","Tandem Diabetes Care Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$16.78","1,779,820"
"ARWR","Arrowhead Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$16.79","1,602,330"
"IMVT","Immunovant Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$16.95","1,339,560"
"NRC","National Research Corp","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$17.01","129,550"
"TEVA","Teva Pharmaceutical Industries Ltd","Health Care","Pharmaceuticals","Pharmaceuticals","NYS","$17.01","10,274,820"
"NVCR","Novocure Ltd","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$17.71","1,635,060"
"SLP","Simulations Plus Inc","Health Care","Health Care Technology","Health Care Technology","NASDAQ","$17.75","586,460"
"STAA","STAAR Surgical Co","Health Care","Health Care Equipment & Supplies","Health Care Supplies","NASDAQ","$17.86","907,370"
"PRTC","PureTech Health PLC","Health Care","Biotechnology","Biotechnology","NASDAQ","$18.01","9,510"
"ASMB","Assembly Biosciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$18.14","55,150"
"SRPT","Sarepta Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$18.24","7,137,560"
"APLS","Apellis Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$18.26","2,059,150"
"ADMA","ADMA Biologics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$18.28","4,186,510"
"DNTH","Dianthus Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$18.38","354,020"
"PTHL","Pheton Holdings Ltd","Health Care","Health Care Technology","Health Care Technology","NASDAQ","$18.38","908,610"
"SIBN","SI-BONE Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$18.47","554,150"
"PHVS","Pharvaris NV","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$18.60","31,240"
"OMDA","Omada Health Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$18.63","802,610"
"CBLL","CeriBell Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$18.93","483,990"
"RIGL","Rigel Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$18.93","239,150"
"OCS","Oculis Holding AG","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$19.00","20,400"
"QNTM","Quantum Biopharma Ltd","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$19.16","--"
"INVA","Innoviva Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$19.21","1,020,850"
"CDNA","CareDx Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$19.24","1,003,230"
"MDWD","Mediwound Ltd","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$19.34","56,710"
"NAMS","NewAmsterdam Pharma Company NV","Health Care","Biotechnology","Biotechnology","NASDAQ","$19.85","938,810"